88/75;2017-08-27;19:39:32;Match;
orioli;2017-08-27;19:43:06;Consulta de Orders del Dia;
orioli;2017-08-27;19:44:11;Consulta de Orders Activas;
orioli;2017-08-27;19:44:28;Consulta de Saldo;
akaminetzkyp;2017-08-27;19:47:40;Consulta de Orders del Dia;
akaminetzkyp;2017-08-27;19:48:20;Ingresar Ask;
akaminetzkyp;2017-08-27;19:48:42;Ingresar Bid;
akaminetzkyp;2017-08-27;19:48:53;Consulta de Orders Activas;
akaminetzkyp;2017-08-27;19:49:27;Ingresar Ask;
akaminetzkyp;2017-08-27;19:49:44;Consulta de Saldo;
akaminetzkyp;2017-08-27;19:50:02;Consulta de Orders Activas;
akaminetzkyp;2017-08-27;19:51:34;Consulta de Orders Activas;
akaminetzkyp;2017-08-27;19:51:51;Ingresar Ask;
akaminetzkyp;2017-08-27;19:51:53;Consulta de Orders Activas;
akaminetzkyp;2017-08-27;19:52:48;Consulta de Orders Activas;
leolivares;2017-08-27;19:54:10;Consulta de Saldo;
leolivares;2017-08-27;19:54:38;Consulta de Saldo;
leolivares;2017-08-27;19:55:23;Consulta de Saldo;
leolivares;2017-08-27;19:55:30;Consulta de Orders Activas;
leolivares;2017-08-27;19:56:04;Ingresar Bid;
leolivares;2017-08-27;19:56:32;Consulta de Orders del Dia;
leolivares;2017-08-27;20:00:28;Consulta de Saldo;
