id_cuota,id_pago,monto,fecha_expiracion,pagado
0,0,,2018-09-19,0
1,1,,2019-01-1,1
2,1,,2019-11-18,1
3,1,,2020-08-19,0
4,2,,2020-05-15,1
5,2,,2020-08-4,1
6,2,,2020-08-6,0
7,2,,2020-09-26,0
8,3,,2018-08-28,1
9,4,,2020-07-31,0
10,5,,2018-12-26,1
11,6,,2019-02-15,0
12,6,,2020-08-21,0
13,7,,2020-07-27,1
14,7,,2020-09-1,1
15,7,,2020-10-14,1
16,7,,2020-10-20,1
17,7,,2020-10-20,1
18,9,,2018-11-30,1
19,10,,2018-11-5,0
20,10,,2018-12-27,0
21,10,,2019-03-31,0
22,10,,2020-01-6,0
23,12,,2020-08-19,1
24,13,,2019-04-28,0
25,13,,2019-09-5,0
26,14,,2019-02-2,0
27,14,,2019-03-18,0
28,14,,2019-06-7,0
29,14,,2020-09-26,0
30,15,,2019-12-3,0
31,15,,2020-04-21,0
32,15,,2020-09-20,0
33,16,,2019-03-21,1
34,16,,2020-01-17,0
35,16,,2020-09-19,0
36,18,,2019-04-20,1
37,18,,2019-08-27,0
38,18,,2020-02-5,0
39,18,,2020-03-1,0
40,20,,2019-08-19,1
41,21,,2019-06-20,1
42,21,,2020-03-17,0
43,22,,2018-09-17,0
44,22,,2020-03-28,0
45,24,,2018-12-9,1
46,24,,2020-02-16,0
47,24,,2020-03-21,0
48,25,,2018-10-10,1
49,26,,2018-07-20,0
50,26,,2020-01-10,0
51,26,,2020-02-8,0
52,28,,2020-04-6,1
53,28,,2020-09-25,1
54,28,,2020-10-3,0
55,28,,2020-10-9,0
56,29,,2018-07-22,0
57,29,,2020-06-17,0
58,29,,2020-09-11,0
59,30,,2018-12-21,1
60,30,,2019-04-28,1
61,30,,2020-10-20,0
62,30,,2020-10-20,0
63,32,,2019-08-11,1
64,33,,2020-10-9,1
65,34,,2019-03-20,0
66,34,,2020-09-21,0
67,35,,2018-08-14,1
68,35,,2019-08-22,0
69,36,,2020-05-11,1
70,36,,2020-10-6,1
71,36,,2020-10-12,0
72,36,,2020-10-19,0
73,38,,2020-05-1,1
74,38,,2020-09-9,1
75,38,,2020-10-19,1
76,38,,2020-10-19,0
77,38,,2020-10-19,0
78,39,,2020-06-3,1
79,39,,2020-07-3,0
80,40,,2020-08-29,1
81,41,,2020-08-3,0
82,41,,2020-08-29,0
83,41,,2020-10-6,0
84,41,,2020-10-11,0
85,42,,2019-11-20,0
86,43,,2018-08-18,0
87,43,,2020-05-30,0
88,43,,2020-08-8,0
89,44,,2018-11-21,1
90,44,,2020-01-11,1
91,45,,2019-01-7,1
92,45,,2020-04-30,1
93,45,,2020-06-1,1
94,45,,2020-07-3,0
95,45,,2020-07-17,0
96,46,,2018-09-19,1
97,46,,2019-01-19,0
98,47,,2020-06-27,1
99,48,,2018-08-11,1
100,48,,2018-12-19,1
101,48,,2019-01-16,0
102,49,,2019-07-2,1
103,49,,2020-07-11,1
104,50,,2018-07-31,1
105,51,,2019-01-28,1
106,51,,2019-08-28,0
107,52,,2018-12-19,1
108,52,,2019-11-30,1
109,52,,2020-09-2,0
110,52,,2020-09-9,0
111,53,,2020-04-9,1
112,53,,2020-06-27,0
113,53,,2020-06-29,0
114,53,,2020-07-19,0
115,53,,2020-10-8,0
116,54,,2019-12-19,0
117,54,,2020-02-1,0
118,54,,2020-08-4,0
119,54,,2020-08-5,0
120,54,,2020-09-27,0
121,55,,2020-02-9,0
122,55,,2020-05-2,0
123,55,,2020-10-8,0
124,55,,2020-10-12,0
125,56,,2019-06-28,1
126,56,,2020-07-26,1
127,59,,2018-10-27,1
128,59,,2019-05-30,0
129,60,,2020-03-5,1
130,60,,2020-04-21,0
131,60,,2020-05-25,0
132,61,,2019-06-16,1
133,61,,2019-07-5,0
134,61,,2020-09-7,0
135,62,,2020-07-19,0
136,62,,2020-08-28,0
137,64,,2019-02-4,0
138,64,,2019-03-25,0
139,64,,2020-01-4,0
140,66,,2018-09-18,1
141,66,,2019-01-24,0
142,66,,2020-06-17,0
143,66,,2020-07-28,0
144,66,,2020-08-10,0
145,67,,2019-07-22,1
146,67,,2020-04-9,1
147,67,,2020-05-19,0
148,68,,2019-11-23,0
149,68,,2020-02-21,0
150,69,,2020-02-19,0
151,69,,2020-07-6,0
152,69,,2020-08-6,0
153,69,,2020-09-20,0
154,69,,2020-10-8,0
155,71,,2020-01-18,1
156,71,,2020-03-30,1
157,73,,2020-07-26,0
158,73,,2020-09-17,0
159,73,,2020-09-29,0
160,77,,2020-05-21,1
161,78,,2019-11-14,1
162,79,,2020-08-16,0
163,79,,2020-09-27,0
164,79,,2020-10-4,0
165,80,,2020-04-16,1
166,81,,2019-11-5,1
167,81,,2020-04-28,1
168,81,,2020-09-16,0
169,81,,2020-09-21,0
170,82,,2020-03-20,1
171,82,,2020-10-17,0
172,82,,2020-10-20,0
173,83,,2019-08-6,1
174,83,,2020-03-14,0
175,83,,2020-05-15,0
176,83,,2020-05-21,0
177,84,,2018-10-2,0
178,84,,2019-08-2,0
179,84,,2020-06-28,0
180,84,,2020-08-7,0
181,84,,2020-08-13,0
182,85,,2019-04-19,1
183,85,,2020-03-13,1
184,86,,2020-06-13,0
185,86,,2020-07-2,0
186,86,,2020-10-15,0
187,86,,2020-10-19,0
188,86,,2020-10-19,0
189,87,,2020-05-27,0
190,87,,2020-10-2,0
191,87,,2020-10-13,0
192,87,,2020-10-19,0
193,87,,2020-10-19,0
194,88,,2020-09-21,1
195,88,,2020-10-1,0
196,88,,2020-10-1,0
197,88,,2020-10-6,0
198,89,,2019-10-8,1
199,89,,2020-07-10,0
200,89,,2020-08-18,0
201,89,,2020-09-23,0
202,90,,2018-12-31,1
203,90,,2019-10-30,1
204,90,,2020-08-27,1
205,93,,2020-09-19,1
206,94,,2020-05-31,1
207,94,,2020-10-14,0
208,95,,2020-02-1,0
209,95,,2020-08-3,0
210,96,,2020-06-10,0
211,96,,2020-09-15,0
212,97,,2020-06-11,1
213,97,,2020-07-1,0
214,99,,2019-03-13,1
215,100,,2018-07-22,0
216,100,,2020-02-29,0
217,100,,2020-06-11,0
218,101,,2019-02-23,1
219,102,,2018-08-4,1
220,102,,2020-01-7,1
221,102,,2020-04-29,0
222,103,,2019-03-19,0
223,103,,2019-07-10,0
224,103,,2019-07-24,0
225,103,,2019-09-25,0
226,103,,2020-08-25,0
227,104,,2019-10-6,1
228,105,,2019-08-14,1
229,106,,2018-08-14,1
230,106,,2020-07-13,0
231,107,,2019-05-16,1
232,107,,2020-03-29,0
233,107,,2020-10-15,0
234,108,,2018-09-22,0
235,108,,2019-11-28,0
236,108,,2020-02-5,0
237,108,,2020-07-2,0
238,108,,2020-08-12,0
239,109,,2019-11-6,1
240,109,,2020-01-29,0
241,109,,2020-02-2,0
242,109,,2020-10-7,0
243,109,,2020-10-12,0
244,111,,2020-02-8,1
245,112,,2020-09-12,1
246,112,,2020-10-14,0
247,112,,2020-10-20,0
248,112,,2020-10-20,0
249,112,,2020-10-20,0
250,113,,2020-07-30,0
251,113,,2020-08-3,0
252,114,,2019-11-9,0
253,114,,2019-11-17,0
254,114,,2020-08-17,0
255,114,,2020-10-7,0
256,115,,2019-01-9,0
257,115,,2019-07-19,0
258,115,,2020-07-14,0
259,115,,2020-10-13,0
260,117,,2019-07-17,0
261,117,,2020-05-18,0
262,117,,2020-06-30,0
263,117,,2020-08-17,0
264,117,,2020-10-13,0
265,118,,2019-09-8,1
266,119,,2018-08-25,0
267,119,,2019-11-27,0
268,119,,2020-05-26,0
269,119,,2020-06-19,0
270,120,,2018-10-16,0
271,120,,2018-12-7,0
272,120,,2019-02-15,0
273,120,,2019-10-31,0
274,120,,2020-03-22,0
275,121,,2019-01-16,1
276,121,,2020-02-11,1
277,121,,2020-09-20,0
278,121,,2020-09-27,0
279,122,,2019-10-15,1
280,122,,2020-01-11,1
281,122,,2020-04-8,0
282,123,,2018-10-6,1
283,123,,2019-01-8,1
284,123,,2020-10-13,0
285,123,,2020-10-17,0
286,124,,2020-04-12,1
287,124,,2020-07-12,1
288,125,,2018-10-23,1
289,125,,2020-08-26,0
290,126,,2020-10-9,0
291,126,,2020-10-9,0
292,126,,2020-10-20,0
293,126,,2020-10-20,0
294,126,,2020-10-20,0
295,127,,2019-05-6,1
296,127,,2020-07-17,0
297,127,,2020-09-22,0
298,129,,2020-03-10,0
299,130,,2019-05-18,0
300,130,,2020-04-4,0
301,130,,2020-07-8,0
302,130,,2020-08-22,0
303,130,,2020-10-17,0
304,131,,2020-10-19,1
305,132,,2019-08-7,0
306,132,,2020-10-7,0
307,133,,2018-12-26,1
308,133,,2020-03-9,1
309,133,,2020-07-22,0
310,134,,2020-01-19,1
311,134,,2020-05-11,0
312,134,,2020-09-22,0
313,135,,2019-11-25,1
314,135,,2020-04-21,1
315,135,,2020-05-23,1
316,136,,2018-08-17,0
317,137,,2019-09-13,0
318,137,,2020-08-30,0
319,137,,2020-09-22,0
320,137,,2020-10-14,0
321,139,,2020-01-23,1
322,139,,2020-05-10,1
323,140,,2019-12-22,1
324,140,,2020-06-10,1
325,141,,2019-12-9,1
326,141,,2020-01-25,1
327,141,,2020-08-27,1
328,141,,2020-10-7,1
329,144,,2020-09-27,1
330,144,,2020-09-30,1
331,145,,2019-06-23,1
332,148,,2020-10-17,1
