id_tienda,nombre,correo
143,Shop 'n Save,jjaguillon@uc.cl
145,Latina Pizza,raabusleme@uc.cl
141,Tom Bradley Airport,pfarellano@uc.cl
159,Remember When,frbarria@uc.cl
153,Luigi's Pizzeria,ibaeza1@uc.cl
149,Pierogies Plus,raabusleme@uc.cl
150,Marge's Place,pfarellano@uc.cl
151,Applebee's,raabusleme@uc.cl
154,Donald's,faberrios@uc.cl
146,Bellisario Pizza Shop,jjaguillon@uc.cl
155,China Sea Chinese Restaurant,raabusleme@uc.cl
160,Pistella Beer Distributors,feapablaza@uc.cl
147,Hunan Wok Chinese Restaurant,talvarez2@uc.cl
148,Minerva Bakery,talvarez2@uc.cl
157,Star Nails,tacucumides@uc.cl
142,Metro,jeichholz3@uc.cl
152,R & B's Pizza Place,vjalvarez@uc.cl
158,Vivo,frbarria@uc.cl
156,Avalon Motel,raabusleme@uc.cl
140,Hoyts Cinema,jjaguillon@uc.cl
136,Loft,sipoblete@uc.cl
123,Cindy Esser's Floral Shop,bidelreal@uc.cl
139,Rapa Nui,ibaeza1@uc.cl
132,Nike,jeharcha@uc.cl
134,Apple,vamarambio@uc.cl
135,Jumbo,jbbao@uc.cl
124,Red White & Blue Thrift Store,jamolina3@uc.cl
122,American Thrift Center,njgarrido@uc.cl
129,Adidas,kandrade@uc.cl
130,Porto Fino,daconcha@uc.cl
127,Homecenter,cdlepe@uc.cl
125,Paul's Clock Repair,jbbao@uc.cl
137,North Face,auirarrazaval@uc.cl
128,Casa Ideas,arcampeny@uc.cl
120,Dick's Sporting Goods,beayancan@uc.cl
119,Old Navy,sezuniga1@uc.cl
138,Assoto,tpvalenzuela@uc.cl
131,Paddy's House,jomoraga@uc.cl
121,Big Bang Bicycles,twallace@uc.cl
