id_compra,fecha,id_tienda,id_usuario
0,1/2/13,136,90
1,1/5/13,123,33
2,1/7/13,139,11
3,1/10/13,123,87
4,1/11/13,123,23
5,1/13/13,132,52
6,1/18/13,134,67
7,1/22/13,136,29
8,1/24/13,135,13
9,1/28/13,124,78
10,1/29/13,132,84
11,2/4/13,122,48
12,2/17/13,123,1
13,2/18/13,122,79
14,2/22/13,135,29
15,2/22/13,129,6
16,2/24/13,130,28
17,2/25/13,124,78
18,2/25/13,124,107
19,3/2/13,127,63
20,3/4/13,125,13
21,3/10/13,137,57
22,3/18/13,134,56
23,3/20/13,128,21
24,3/21/13,124,43
25,3/25/13,122,8
26,3/26/13,120,10
27,3/30/13,134,94
28,3/31/13,123,32
29,4/1/13,119,117
30,4/8/13,127,111
31,4/10/13,129,72
32,4/11/13,136,36
33,4/14/13,127,46
34,4/16/13,120,36
35,4/20/13,139,4
36,5/2/13,129,79
37,5/3/13,135,106
38,5/12/13,123,15
39,5/16/13,123,58
40,5/18/13,138,109
41,5/18/13,136,13
42,5/19/13,122,109
43,5/21/13,128,10
44,5/21/13,130,82
45,5/28/13,123,84
46,5/29/13,135,8
47,6/1/13,127,22
48,6/5/13,130,85
49,6/8/13,131,79
50,6/9/13,123,27
51,6/11/13,134,71
52,6/12/13,131,43
53,6/20/13,131,97
54,6/21/13,139,98
55,6/22/13,120,79
56,6/24/13,129,57
57,6/30/13,120,97
58,7/3/13,121,112
59,7/8/13,132,102
60,7/12/13,138,90
61,7/19/13,135,22
62,7/29/13,129,68
63,8/17/13,132,90
64,8/18/13,129,63
65,8/26/13,136,14
66,8/29/13,125,52
67,8/29/13,125,82
68,8/30/13,137,84
69,9/1/13,123,77
70,9/2/13,122,97
71,9/12/13,135,9
72,9/15/13,119,92
73,9/16/13,137,110
74,9/17/13,131,54
75,9/17/13,125,115
76,9/18/13,139,62
77,9/22/13,138,9
78,9/24/13,138,105
79,9/29/13,130,91
80,9/30/13,139,114
81,10/1/13,128,101
82,10/2/13,131,87
83,10/4/13,125,41
84,10/5/13,137,103
85,10/7/13,121,114
86,10/11/13,121,111
87,10/13/13,119,21
88,10/15/13,121,65
89,10/15/13,128,89
90,10/18/13,123,59
91,10/24/13,132,7
92,10/29/13,129,78
93,11/2/13,134,108
94,11/10/13,138,116
95,11/14/13,121,22
96,11/16/13,138,23
97,11/16/13,130,85
