id_tienda,nombre,ubicacion,telefono,rubro,correo,id_tienda,id_producto
127,Homecenter,"8 Logan St
Carnegie
Carnegie, PA 15106",93430390,Construcción,mhassel@mac.com,127,7801130794486
127,Homecenter,"8 Logan St
Carnegie
Carnegie, PA 15106",93430390,Construcción,mhassel@mac.com,127,7801305809069
134,Apple,"215 E Main St
Carnegie
Carnegie, PA 15106",96273192,Tecnología,scotfl@gmail.com,134,7801357246126
133,Walmart,"520 North Bell Avenue
Carnegie
Carnegie, PA 15106",95380301,Supermercado,bjornk@hotmail.com,133,7801470268777
135,Jumbo,"231 E Main St
Carnegie
Carnegie, PA 15106",82826916,Supermercado,sekiya@yahoo.ca,135,7801566649404
138,Assoto,"2323 Greentree Rd
Carnegie, PA 15106",88600221,Health & Medical,alfred@hotmail.com,138,7801585511645
122,American Thrift Center,"1806 Homeville Rd
West Mifflin, PA 15122",98427721,Shopping,pajas@comcast.net,122,7801697430469
130,Porto Fino,"1201 Washington Ave
Carnegie, PA 15106",85252808,Construcción,esbeck@msn.com,130,7801888869528
119,Old Navy,"560 E Waterfront Dr
Homestead
Homestead, PA 15120",91206203,Shopping,jonadab@sbcglobal.net,119,7802005131603
137,North Face,"Raceway Plz
Carnegie, PA 15106",85769830,Deportes,chaki@msn.com,137,7802047351151
137,North Face,"Raceway Plz
Carnegie, PA 15106",85769830,Deportes,chaki@msn.com,137,7802147246937
123,Cindy Esser's Floral Shop,"1122 E Carson St
South Side
Pittsburgh, PA 15203",96108901,Flores y regalos,denism@icloud.com,123,7802234957111
127,Homecenter,"8 Logan St
Carnegie
Carnegie, PA 15106",93430390,Construcción,mhassel@mac.com,127,7802412459321
130,Porto Fino,"1201 Washington Ave
Carnegie, PA 15106",85252808,Construcción,esbeck@msn.com,130,7802819605420
132,Nike,"202 3rd Ave
Carnegie
Carnegie, PA 15106",81941645,Shopping,iapetus@sbcglobal.net,132,7802871717666
127,Homecenter,"8 Logan St
Carnegie
Carnegie, PA 15106",93430390,Construcción,mhassel@mac.com,127,7802896078384
126,Falabella,"920 Forsythe Rd
Carnegie
Carnegie, PA 15106",91889265,Shopping,tjensen@yahoo.com,126,7802941555419
122,American Thrift Center,"1806 Homeville Rd
West Mifflin, PA 15122",98427721,Shopping,pajas@comcast.net,122,7803350771933
134,Apple,"215 E Main St
Carnegie
Carnegie, PA 15106",96273192,Tecnología,scotfl@gmail.com,134,7803441875823
135,Jumbo,"231 E Main St
Carnegie
Carnegie, PA 15106",82826916,Supermercado,sekiya@yahoo.ca,135,7803606809144
135,Jumbo,"231 E Main St
Carnegie
Carnegie, PA 15106",82826916,Supermercado,sekiya@yahoo.ca,135,7803921254094
132,Nike,"202 3rd Ave
Carnegie
Carnegie, PA 15106",81941645,Shopping,iapetus@sbcglobal.net,132,7803996699585
127,Homecenter,"8 Logan St
Carnegie
Carnegie, PA 15106",93430390,Construcción,mhassel@mac.com,127,7804405384702
119,Old Navy,"560 E Waterfront Dr
Homestead
Homestead, PA 15120",91206203,Shopping,jonadab@sbcglobal.net,119,7804556874572
124,Red White & Blue Thrift Store,"935 Ohio River Blvd
Avalon
Pittsburgh, PA 15202",82174114,Shopping,symbolic@yahoo.ca,124,7804565733907
122,American Thrift Center,"1806 Homeville Rd
West Mifflin, PA 15122",98427721,Shopping,pajas@comcast.net,122,7804693691131
120,Dick's Sporting Goods,"The Waterfront
350 East Waterfront Drive
Homestead
Homestead, PA 15120",85585647,Deportes,ryanvm@aol.com,120,7804788222905
