id_tienda,nombre,ubicacion,telefono,rubro,correo
119,Old Navy,"560 E Waterfront Dr
Homestead
Homestead, PA 15120",91206203,Shopping,jonadab@sbcglobal.net
120,Dick's Sporting Goods,"The Waterfront
350 East Waterfront Drive
Homestead
Homestead, PA 15120",85585647,Deportes,ryanvm@aol.com
121,Big Bang Bicycles,"347 Lebanon Rd
West Mifflin, PA 15122",88393366,Deportes,mjewell@optonline.net
122,American Thrift Center,"1806 Homeville Rd
West Mifflin, PA 15122",98427721,Shopping,pajas@comcast.net
123,Cindy Esser's Floral Shop,"1122 E Carson St
South Side
Pittsburgh, PA 15203",96108901,Flores y regalos,denism@icloud.com
124,Red White & Blue Thrift Store,"935 Ohio River Blvd
Avalon
Pittsburgh, PA 15202",82174114,Shopping,symbolic@yahoo.ca
125,Paul's Clock Repair,"1234 Straka St
Crafton Heights
Pittsburgh, PA 15204",98233816,Shopping,dkrishna@msn.com
126,Falabella,"920 Forsythe Rd
Carnegie
Carnegie, PA 15106",91889265,Shopping,tjensen@yahoo.com
127,Homecenter,"8 Logan St
Carnegie
Carnegie, PA 15106",93430390,Construcción,mhassel@mac.com
128,Casa Ideas,"2100 Washington Pike
Carnegie, PA 15106",81879688,Interiores,giafly@sbcglobal.net
129,Adidas,"2100 Washington Pike
Carnegie, PA 15106",84935045,Shopping,martyloo@hotmail.com
130,Porto Fino,"1201 Washington Ave
Carnegie, PA 15106",85252808,Construcción,esbeck@msn.com
131,Paddy's House,"1073 Washington Ave
Carnegie, PA 15106",83941337,Construcción,frostman@yahoo.com
132,Nike,"202 3rd Ave
Carnegie
Carnegie, PA 15106",81941645,Shopping,iapetus@sbcglobal.net
133,Walmart,"520 North Bell Avenue
Carnegie
Carnegie, PA 15106",95380301,Supermercado,bjornk@hotmail.com
134,Apple,"215 E Main St
Carnegie
Carnegie, PA 15106",96273192,Tecnología,scotfl@gmail.com
135,Jumbo,"231 E Main St
Carnegie
Carnegie, PA 15106",82826916,Supermercado,sekiya@yahoo.ca
136,Loft,"117 E Mall Plz
Carnegie
Carnegie, PA 15106",85321577,Deportes extremos,catalog@gmail.com
137,North Face,"Raceway Plz
Carnegie, PA 15106",85769830,Deportes,chaki@msn.com
138,Assoto,"2323 Greentree Rd
Carnegie, PA 15106",88600221,Health & Medical,alfred@hotmail.com
139,Rapa Nui,"214 E Main St
Carnegie
Carnegie, PA 15106",84388818,Deportes extremos,mddallara@yahoo.com
