id_tienda_s,nombre,ubicacion,telefono,apertura,cierre,rubro,correo,
140,Hoyts Cinema,"185 W. Waterfront Drive
Homestead
Pittsburgh/Waterfront, PA 15120",93422751,11:30,23:00,Entretención,sisyphus@me.com,
141,Tom Bradley Airport,"4840 E Indian School Rd
Ste 101
Phoenix, AZ 85018",90573044,0:00,23:59,Transporte,burns@msn.com,
142,Metro,"202 McClure St
Dravosburg, PA 15034",87152577,0:00,23:59,Transporte,brainless@live.com,
143,Shop 'n Save,"1886 Homeville Rd
West Mifflin, PA 15122",98077273,8:00,20:00,Comida,parents@yahoo.ca,
144,McDonald's,"Kennywood & Hoffman
West Mifflin, PA 15122",91016259,8:00,20:00,Comida,webteam@live.com,
145,Latina Pizza,"4426 Kennywood Blvd
West Mifflin, PA 15122",88089442,8:00,20:00,Comida,hamilton@hotmail.com,
146,Bellisario Pizza Shop,"1842 Homeville Rd
West Mifflin, PA 15122",94110070,8:00,20:00,Comida,jimxugle@live.com,
147,Hunan Wok Chinese Restaurant,"1822 Homeville Rd
West Mifflin, PA 15122",98242988,8:00,20:00,Comida,moonlapse@outlook.com,
148,Minerva Bakery,"927 5th Ave
McKeesport, PA 15132",93453406,8:00,20:00,Comida,delpino@optonline.net,
149,Pierogies Plus,"342 Island Ave
Mc Kees Rocks, PA 15136",88742758,11:00,18:00,Entretención,ullman@optonline.net,
150,Marge's Place,"719 Broadway Ave
McKees Rocks, PA 15136",90471168,6:00,14:00,Hospedaje,wkrebs@att.net,
151,Applebee's,"6570 Rt 60 Steubenville Pike
McKees Rocks, PA 15136",88212736,8:00,20:00,Comida,nullchar@verizon.net,
152,R & B's Pizza Place,"421 Lincoln Ave
Bellevue
Bellvue, PA 15202",94208708,8:00,20:00,Comida,monkeydo@optonline.net,
153,Luigi's Pizzeria,"531 Lincoln Ave
Bellevue
Bellevue, PA 15202",83859408,8:00,20:00,Comida,mcrawfor@sbcglobal.net,
154,Donald's,"4557 Ohio River Blvd
Bellevue
Pittsburgh, PA 15202",92942537,8:00,20:00,Transporte,gslondon@att.net,
155,China Sea Chinese Restaurant,"610 Lincoln Ave
Bellevue
Bellevue, PA 15202",86681601,8:00,20:00,Comida,matloff@verizon.net,
156,Avalon Motel,"512 Ohio River Blvd
Avalon
Pittsburgh, PA 15202",84382451,8:00,20:00,Hospedaje,geekgrl@hotmail.com,
157,Star Nails,"616 Lincoln Ave Ste 7
Bellevue
Bellevue, PA 15202",89033278,8:00,20:00,Entretención,dobey@optonline.net,
158,Vivo,"565 Lincoln Ave
Bellevue
Bellevue, PA 15202",89053880,8:00,20:00,Comida,crypt@comcast.net,
159,Remember When,"3860 Chartiers Ave
Windgap
Pittsburgh, PA 15204",88787349,8:00,20:00,Hospedaje,msusa@live.com,
160,Pistella Beer Distributors,"5514 Penn Ave
Friendship
Pittsburgh, PA 15206",82262170,10:00,21:00,Comida,staikos@msn.com,
